Recall,Precision,Model
1.0,0.10344827586206896,E-LightGBM (Proposed)
1.0,0.10404624277456648,E-LightGBM (Proposed)
1.0,0.10465116279069768,E-LightGBM (Proposed)
1.0,0.10526315789473684,E-LightGBM (Proposed)
1.0,0.10588235294117647,E-LightGBM (Proposed)
1.0,0.10650887573964497,E-LightGBM (Proposed)
1.0,0.10714285714285714,E-LightGBM (Proposed)
1.0,0.10778443113772455,E-LightGBM (Proposed)
1.0,0.10843373493975904,E-LightGBM (Proposed)
1.0,0.10909090909090909,E-LightGBM (Proposed)
1.0,0.10975609756097561,E-LightGBM (Proposed)
1.0,0.11042944785276074,E-LightGBM (Proposed)
1.0,0.1111111111111111,E-LightGBM (Proposed)
1.0,0.11180124223602485,E-LightGBM (Proposed)
1.0,0.1125,E-LightGBM (Proposed)
1.0,0.11320754716981132,E-LightGBM (Proposed)
1.0,0.11392405063291139,E-LightGBM (Proposed)
1.0,0.11464968152866242,E-LightGBM (Proposed)
1.0,0.11538461538461539,E-LightGBM (Proposed)
1.0,0.11612903225806452,E-LightGBM (Proposed)
1.0,0.11688311688311688,E-LightGBM (Proposed)
1.0,0.11764705882352941,E-LightGBM (Proposed)
1.0,0.11842105263157894,E-LightGBM (Proposed)
1.0,0.11920529801324503,E-LightGBM (Proposed)
1.0,0.12,E-LightGBM (Proposed)
1.0,0.12080536912751678,E-LightGBM (Proposed)
1.0,0.12162162162162163,E-LightGBM (Proposed)
1.0,0.12244897959183673,E-LightGBM (Proposed)
1.0,0.1232876712328767,E-LightGBM (Proposed)
1.0,0.12413793103448276,E-LightGBM (Proposed)
1.0,0.125,E-LightGBM (Proposed)
1.0,0.1258741258741259,E-LightGBM (Proposed)
1.0,0.1267605633802817,E-LightGBM (Proposed)
1.0,0.1276595744680851,E-LightGBM (Proposed)
1.0,0.12857142857142856,E-LightGBM (Proposed)
1.0,0.12949640287769784,E-LightGBM (Proposed)
1.0,0.13043478260869565,E-LightGBM (Proposed)
1.0,0.13138686131386862,E-LightGBM (Proposed)
1.0,0.1323529411764706,E-LightGBM (Proposed)
1.0,0.13333333333333333,E-LightGBM (Proposed)
1.0,0.13432835820895522,E-LightGBM (Proposed)
1.0,0.13533834586466165,E-LightGBM (Proposed)
1.0,0.13636363636363635,E-LightGBM (Proposed)
1.0,0.13740458015267176,E-LightGBM (Proposed)
1.0,0.13846153846153847,E-LightGBM (Proposed)
1.0,0.13953488372093023,E-LightGBM (Proposed)
1.0,0.140625,E-LightGBM (Proposed)
1.0,0.14173228346456693,E-LightGBM (Proposed)
1.0,0.14285714285714285,E-LightGBM (Proposed)
1.0,0.144,E-LightGBM (Proposed)
1.0,0.14516129032258066,E-LightGBM (Proposed)
1.0,0.14634146341463414,E-LightGBM (Proposed)
1.0,0.14754098360655737,E-LightGBM (Proposed)
1.0,0.1487603305785124,E-LightGBM (Proposed)
1.0,0.15,E-LightGBM (Proposed)
1.0,0.15126050420168066,E-LightGBM (Proposed)
1.0,0.15384615384615385,E-LightGBM (Proposed)
1.0,0.15517241379310345,E-LightGBM (Proposed)
1.0,0.1565217391304348,E-LightGBM (Proposed)
1.0,0.15789473684210525,E-LightGBM (Proposed)
1.0,0.1592920353982301,E-LightGBM (Proposed)
1.0,0.16071428571428573,E-LightGBM (Proposed)
1.0,0.16216216216216217,E-LightGBM (Proposed)
1.0,0.16363636363636364,E-LightGBM (Proposed)
1.0,0.1651376146788991,E-LightGBM (Proposed)
1.0,0.16666666666666666,E-LightGBM (Proposed)
