geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
0,1,1,13.0,3,0.0,75.0,75.0,56.0,52.0,48.0,61.0,54.25,0,0.25,0
1,1,1,13.0,4,0.0,95.0,99.0,77.0,85.0,94.0,95.0,87.75,0,0.026000000000000023,0
1,1,0,11.0,1,1.0,87.0,70.0,77.0,52.0,80.0,73.0,70.5,0,0.23200000000000004,0
1,1,1,13.0,4,0.0,96.0,94.0,77.0,94.0,71.0,77.0,79.75,0,0.052000000000000046,0
1,1,1,6.0,0,0.0,78.6,77.3,70.1,69.7,77.5,72.1,72.35,1,0.22180000000000002,0
1,1,0,7.0,1,2.0,20.0,37.0,20.0,33.0,17.0,30.0,25.0,0,0.6980000000000001,1
1,1,1,13.0,4,0.0,85.0,88.0,54.0,78.0,58.0,52.0,60.5,0,0.132,0
1,1,0,7.0,0,2.0,20.0,37.0,27.0,37.0,27.0,77.0,42.0,0,0.6980000000000001,1
0,1,1,13.0,4,0.0,91.0,90.0,70.0,77.0,76.0,74.0,74.25,0,0.09599999999999997,0
1,1,0,7.0,1,0.0,74.0,82.0,75.0,76.0,57.0,54.0,65.5,0,0.21200000000000002,0
1,1,0,8.0,1,0.0,75.0,79.0,66.0,66.0,71.0,65.0,67.0,0,0.22599999999999998,0
1,1,0,12.0,3,0.0,88.0,97.0,93.0,54.0,74.0,83.0,76.0,0,0.06600000000000002,0
1,1,1,8.0,1,0.0,96.0,99.0,90.0,76.0,89.0,96.0,87.75,0,0.02200000000000002,0
0,1,0,13.0,3,0.0,80.0,86.0,77.0,76.0,78.0,69.0,75.0,0,0.16399999999999998,0
1,1,1,13.0,4,0.0,96.0,92.0,94.0,48.0,74.0,43.0,64.75,0,0.06399999999999999,0
1,1,1,13.0,4,0.0,94.0,92.0,90.0,79.0,70.0,94.0,83.25,0,0.072,0
1,1,0,6.0,0,0.0,85.0,87.0,68.0,57.0,57.0,63.0,61.25,0,0.138,0
0,1,0,13.9,3,0.0,71.2,70.4,46.1,51.6,50.1,49.3,49.275000000000006,0,0.29279999999999995,1
1,1,0,12.0,2,0.0,92.0,93.0,73.0,77.0,70.0,89.0,77.25,0,0.07399999999999995,0
0,1,1,13.8,3,0.0,76.4,76.3,66.6,53.9,59.9,56.2,59.150000000000006,0,0.23659999999999998,0
1,1,0,12.0,2,0.0,98.0,97.0,60.0,90.0,53.0,85.0,72.0,0,0.026000000000000023,0
1,1,1,13.0,4,0.0,85.0,88.0,89.0,79.0,52.0,91.0,77.75,0,0.132,0
1,1,0,8.0,1,0.0,90.0,71.0,70.0,69.0,64.0,76.0,69.75,0,0.21400000000000002,0
1,1,0,13.0,4,0.0,86.0,98.0,62.0,78.0,78.0,92.0,77.5,0,0.06800000000000002,0
0,1,0,14.0,3,0.0,88.0,86.0,84.0,83.0,80.0,78.0,81.25,0,0.132,0
1,1,1,9.0,1,0.0,92.0,93.0,73.0,77.0,70.0,89.0,77.25,0,0.07399999999999995,0
1,1,0,8.0,1,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
1,1,0,12.7,3,0.0,83.5,86.0,78.8,72.1,81.3,84.0,79.05,1,0.15000000000000002,0
0,1,0,14.4,4,0.0,80.1,83.8,71.1,75.2,75.9,65.5,71.92500000000001,1,0.17680000000000007,0
1,1,0,13.0,4,0.0,87.0,98.0,92.0,79.0,71.0,47.0,72.25,0,0.06400000000000002,0
1,1,0,13.0,4,0.0,86.0,93.0,70.0,83.0,83.0,86.0,80.5,0,0.09799999999999998,0
1,1,1,13.0,4,0.0,85.0,89.0,86.0,63.0,71.0,85.0,76.25,0,0.126,0
0,1,0,12.9,3,0.0,87.3,88.2,93.5,85.2,82.8,86.5,87.0,0,0.12159999999999999,0
1,1,1,13.0,4,0.0,89.0,89.0,84.0,87.0,91.0,79.0,85.25,0,0.10999999999999999,0
1,1,1,7.0,0,0.0,76.6,77.8,65.2,65.1,70.2,60.4,65.225,1,0.22680000000000003,0
1,1,1,12.0,3,0.0,90.0,88.0,55.0,80.0,64.0,89.0,72.0,0,0.11199999999999999,0
1,1,0,13.0,1,0.0,83.2,96.0,63.7,80.3,65.5,47.2,64.175,1,0.09119999999999999,0
0,0,1,12.9,4,0.0,78.6,77.3,70.1,69.7,77.5,72.1,72.35,1,0.22180000000000002,0
1,1,0,8.0,1,0.0,79.9,81.8,65.4,68.7,60.8,64.8,64.92500000000001,1,0.18960000000000002,0
1,1,0,12.0,3,1.0,75.0,80.0,58.0,55.0,56.0,61.0,57.5,0,0.21999999999999997,0
