contrast,seed,ref_mean,test_mean,diff_mean,sign,wilcoxon_p,cohens_d,ci95_lo,ci95_hi,n_folds
reweighting on top of focal (1 change),123,0.9795880154264591,0.9795880154264591,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),456,0.9743905535199161,0.9743905535199161,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),789,0.9704715631317135,0.9704715631317135,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),1024,0.9744666443827812,0.9744666443827812,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),2048,0.9770891843499118,0.9770891843499118,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),3333,0.9821526650425622,0.9821526650425622,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),5555,0.9807720079589596,0.9807720079589596,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),7777,0.982715185478323,0.982715185478323,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),9999,0.9736644439685042,0.9736644439685042,0.0,-,1.0,0.0,0.0,0.0,25
R01 'isolated loss effect' (2 changes),42,0.9834675036138333,0.9806806196928293,-0.0027868839210041063,-,0.06405909374813851,-0.12572930246054653,-0.005771347827119798,-5.110129157201731e-05,25
R01 'isolated loss effect' (2 changes),123,0.9813242999328792,0.9795880154264591,-0.0017362845064200138,-,0.07706325919945425,-0.06070085397528924,-0.0037087632554643323,0.00020183984852017154,25
R01 'isolated loss effect' (2 changes),456,0.9762195069451058,0.9743905535199161,-0.0018289534251898143,-,0.37180364974669,-0.06479777827185883,-0.0050319348410371185,0.0007936998044825657,25
R01 'isolated loss effect' (2 changes),789,0.9741782485487618,0.9704715631317135,-0.003706685417048319,-,0.12579257987766435,-0.09436462703374736,-0.007283644664328209,-0.00045735320740720537,25
R01 'isolated loss effect' (2 changes),1024,0.9787137476054798,0.9744666443827812,-0.00424710322269858,-,0.028423784618175678,-0.1383602221189598,-0.00761258736249294,-0.0012323006653032033,25
R01 'isolated loss effect' (2 changes),2048,0.9763553040725885,0.9770891843499118,0.0007338802773232622,+,0.6724726297711863,0.025088951930120392,-0.0021809040865233206,0.003664341979482328,25
R01 'isolated loss effect' (2 changes),3333,0.9846217764603667,0.9821526650425622,-0.002469111417804517,-,0.046649186749128296,-0.1062444225914797,-0.004726127603071461,-0.0004765005924759291,25
R01 'isolated loss effect' (2 changes),5555,0.983313644186665,0.9807720079589596,-0.002541636227705362,-,0.15307838074391766,-0.11581507708644492,-0.005702412945819659,0.0006308418839921054,25
R01 'isolated loss effect' (2 changes),7777,0.9834598294366418,0.982715185478323,-0.0007446439583190311,-,0.26758390747028593,-0.03662986044610083,-0.0027518842307720916,0.0013267188307128028,25
R01 'isolated loss effect' (2 changes),9999,0.9760386008144982,0.9736644439685042,-0.0023741568459942687,-,0.06404158155233677,-0.06054320791980748,-0.005345486282046219,0.0005584278380903119,25
